"GEOID","OBJECTID","DTH_CUM_CP","population"
"55025010904",2907417,0,9410
"55025011000",2343597,6,4121
"55025011101",2817440,3,4838
"55025011102",2258076,3,9155
"55025011200",2731163,6,9823
"55025011301",2176216,13,6546
"55025011302",2644151,9,3272
"55025011401",2098115,17,8932
"55025011402",2551910,12,10977
"55025011503",2014623,9,9059
"55025011504",2467719,2,3970
"55025011505",1932469,11,4802
"55025011506",2381351,6,5619
"55025011600",2856430,10,7051
"55025011700",2296131,2,4150
"55025011800",2765410,5,6165
"55025011900",2210246,4,7070
"55025012001",2678664,6,9202
"55025012002",2129198,3,4992
"55025012100",2591442,4,2789
"55025012201",2051559,5,2034
"55025012202",2505606,14,6942
"55025012300",1964126,3,5610
"55025012400",2416592,3,4989
"55025012501",2890271,8,6726
"55025012502",2330868,11,5955
"55025012600",2804445,5,4599
"55025012700",2245571,1,4120
"55025012800",2718483,8,8159
"55025012900",2160463,3,4097
"55025013000",2627019,4,4764
"55025013100",2082516,11,4850
"55025013200",2539398,11,9917
"55025013301",2001705,3,5073
"55025013302",2455151,0,5896
"55025013700",1920804,10,6296
"55025991702",2364667,0,0
"55025991703",2839340,0,0
"55027960100",2279370,25,5916
"55027960200",2752821,8,2921
"55027960300",2197783,25,7927
"55027960400",2665865,9,4274
"55027960500",2117876,11,4285
"55027960600",2574184,16,3621
"55027960700",2035301,12,5051
"55027960800",2489013,5,3715
"55027960900",1952412,25,4092
"55027961000",2403744,30,4291
"55027961100",2877871,20,4429
"55027961200",2317943,8,3370
"55027961300",2787243,13,5097
"55027961400",2229825,8,4078
"55027961500",2700959,14,4945
"55027961600",2148714,7,4355
"55027961700",2614129,5,3088
"55027961800",2075016,13,4391
"55027961900",2531107,14,5293
"55027962000",1988808,18,2576
"55029100100",2442807,3,2251
"55029100300",2916710,3,2412
"55029100400",2356537,6,2749
"55029100500",2830933,7,3353
"55029100600",2271205,4,3125
"55029100700",2744453,12,4761
"55029100800",2185229,9,5048
